features,details,expires_at,url,price_number,business_type,latitude,longitude,city,district,category,title,description,area,year,rooms,price,price_per_meter,floor,token
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سرامیک"": true, ""سرویس بهداشتی ایرانی"": true, ""سرمایش کولر آبی"": true, ""گرمایش شوفاژ"": true, ""تأمین‌کننده آب گرم پکیج"": true}","{""تعداد واحد در طبقه"": ""۱"", ""تعداد کل طبقات ساختمان"": ""۴"", ""جهت ساختمان"": ""شمالی"", ""سند"": ""تک‌برگ"", ""نوع آشپزخانه"": ""اپن"", ""نمای ساختمان"": ""سنگ"", ""وضعیت سکونت"": ""مالک سکونت دارد"", ""تعداد سرویس بهداشتی"": ""۱"", ""تعداد پارکینگ"": ""۰"", ""تعداد حمام"": ""۱"", ""بازسازی‌ شده"": ""هست""}",2026-08-17T20:32:59.477522,https://divar.ir/v/gaUVJ1NN,10499999744,personal,,,تهران,سلسبیل شمالی,فروش آپارتمان,80متر بازسازی شده,"✅ آپارتمان 80 متری صفر تا صد بازسازی شده( دکوراسیون ژورنالی)
✅طبقه چهارم 
✅کلا ۴ طبقه تک واحد
✅انباری سندی ده متری
✅آیفون تصویری
✅درب ضد سرقت
✅هود لمسی
✅گاز رومیزی ۵ شعله
✅نوع آشپزخانه: اپن
✅نمای ساختمان: سنگ
✅وضعیت سکونت: مالک سکونت دارد
✅تعداد سرویس بهداشتی: ۱
✅تعداد حمام: ۱
✅بازسازی‌ شده: هست
✅انباری
✅بالکن دارد
✅جنس کف سرامیک طرح چوب طوسی
✅سرویس بهداشتی ایرانی 
✅سرمایش کولر آبی
✅گرمایش شوفاژ(پکیج)
✅ملک شمالی شرقی می باشد و از 4 طرف باز است . از دوضلع نورگیری دارد.
تخفیف پای معامله",۸۰,۱۳۸۵,۲,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۱,۲۵۰,۰۰۰ تومان",۴ از ۴,gaUVJ1NN
"{""آسانسور"": true, ""پارکینگ ندارد"": false, ""انباری ندارد"": false, ""بالکن دارد"": true, ""جنس کف سرامیک"": true, ""سرمایش کولر آبی"": true}","{""تعداد کل طبقات ساختمان"": ""۱۱"", ""سند"": ""تک‌برگ"", ""نوع آشپزخانه"": ""اپن""}",2026-08-17T20:26:23.952322,https://divar.ir/v/gaa51ggu,6499999744,personal,,,تهران,خرمشهر,فروش آپارتمان,فروش آپارتمان در مرکزشهر,"عرض ادب و احترام
««لطفاً لطفا لطفا مشاورین املاک تماس نگیرند»»
مالک هستم
مشخصات اپارتمان جهت فروش
سند تک برگ خارج از رهن و آماده انتقال
۴۸ متر
طبقه ۵ از ۱۱
دو لاین اسانسور
اشپزخانه اوپن
سرویس با هم
گرمایش پکیج
سرمایش کولر آبی
یک خواب
تراس دار(اتاق کولر)
ایفون‌ تصویری
کف سرامیک
کابینت فلز
لابی تمیز
مدیریت خوب 
سرایدار مقیم
جنب ایستگاه بی ار ای و مترو
ادرس اتوبان نواب- خوشیاران جنوبی(سینای شرقی)",۴۸,۱۳۸۵,۱,"‏۶,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۵,۴۱۶,۰۰۰ تومان",۵ از ۱۱,gaa51ggu
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سرامیک"": true}","{""وضعیت سکونت"": ""تخلیه""}",2026-08-15T17:18:45.458372,https://divar.ir/v/gaXJ0XlU,6600000000,premium-panel,,,تهران,بریانک,فروش آپارتمان,49مترفول امکانات/بریانک شرقی میرجلیلی/تخلیه/شیک,"(                   بسم تعالی                        )

 ⚜️ یک واحد زیر قیمت و مناسب سرمایه گذاری ⚜️
    یک واحد در بریانک شرقی میرجلیلی فوری 

دسترسی به دو خط مترو کمتر از ۵ دقیقه 
کابینت فول mdf ـ کف سرامیک 
فول امکانات بسیار شیک 
کوچه پهن و ماشین رو 
مشاعات بسیار تمیز 
بسیار خوش نقشه 
حال پذیرایی مربع 

✨آسانسور ۵ نفر بزرگ 
✨پارکینگ سندی غیر مزاحم 
✨بالکن بزرگ کاربردی
✨انباری کاذب 

✨ ما به جای شما گشتیم و بهترین مورد می باشد ✨

      ⛔          تخلیه فوری فروش           ⛔
   
  ⛔    پارکینگ سندی غیر مزاحم طبق عرف ⛔

سند و مدارک تمامی تکمیل و شسته رفته 

  ⚜️       مشاورین مسکن بزرگ پارسیان.       ⚜️",۵۰,۱۳۹۴,۱,"‏۶,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۲,۰۰۰,۰۰۰ تومان",۳,gaXJ0XlU
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری ندارد"": false, ""بالکن دارد"": true, ""جنس کف سرامیک"": true, ""سرویس بهداشتی ایرانی و فرنگی"": true, ""سرمایش کولر گازی"": true, ""گرمایش شوفاژ"": true, ""تأمین‌کننده آب گرم پکیج"": true}","{""تعداد واحد در طبقه"": ""۲"", ""تعداد کل طبقات ساختمان"": ""۳"", ""جهت ساختمان"": ""جنوبی"", ""سند"": ""تک‌برگ"", ""وضعیت سکونت"": ""تخلیه"", ""بازسازی‌ شده"": ""هست"", ""قابل معاوضه"": ""دارد""}",2026-08-17T19:51:24.548553,https://divar.ir/v/gaaZlR3e,8499999744,personal,,,تهران,شیخ هادی,فروش آپارتمان,فروش آپارتمان 63 متری فول بازسازی جامی,"فول بازسازی شده
کابینت هایگلاس ترک
پکیج
کولر گازی
کف سرامیک
دستشویی ایرانی فرنگی
بالکن
سند تک برگ
بر خیابان جامی
مسکونی. موقعیت اداری
طبقه دوم سندی و سوم رویتی
دو واحدی
قابلیت رهن تا 1.200 رهن کامل
تخلیه تا اخر مرداد
قابل معاوضه با اپارتمان پارکینگ دار و متراژ بالاتر",۶۳,۱۳۷۱,۱,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۴,۹۲۰,۰۰۰ تومان",۲ از ۳,gaaZlR3e
"{""آسانسور ندارد"": false, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true}","{""تعداد واحد در طبقه"": ""۱""}",2026-08-17T17:28:31.562177,https://divar.ir/v/gaaRj92s,10499999744,premium-panel,,,تهران,سلسبیل جنوبی,فروش آپارتمان,اپارتمان 75 متر ، رودکی ، پارکینگدار ، خوش نقشه,"اپارتمان 75 متر دوخوابه 

امکانات ( پارکینگ سند ، انباری ، بالکن )

مالک 100% فروشنده 

طبقه اول تک واحدی خوش نقشه غرق نور بدون یک ثانتی پرتیی 

بدون مشابه : تک بازدید کیلید 

قیمت پارکینگ جداگانه حساب میشود 

فاصله تا متروی کمتر از یک دقیقه 

کافیه فقط با بنده تماسی داشته باشید تا صاحبه خانه ی رویاییتون شوید  .  .

ایمانی",۷۵,۱۳۸۷,۲,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۴۰,۰۰۰,۰۰۰ تومان",۱,gaaRj92s
"{""آسانسور ندارد"": false, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true}","{""تعداد پارکینگ"": ""۲""}",2026-08-17T19:38:41.009672,https://divar.ir/v/gaaNFeRs,11950000128,premium-panel,,,تهران,منیریه,فروش آپارتمان,۶۰ متر تک واحد با دوتا پارکینگ و انباری سندی,"با نام و یاد پروردگار
دپارتمان بزرگ کوچ با بیشترین فایلینگ در منطقه ۱۱
⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜
خوش‌نقشه با سالن مربع (بدون پرتی) جهت چیدمان عالی.

تک‌خواب بزرگ با کمد دیواری.

آشپزخانه مدرن (کابینت گلس، گاز رومیزی و هود).

دارای دو انباری (بالکن در آشپزخانه رو به نما).

ویژگی خاص: دارای ۲ پارکینگ سندی.

سالن دو طرف نورگیر (مربع مناسب انواع چیدمان مبلمان)
گذر دنج ۱۰ متری.

 صالحی کارشناس تخصصی منطقه۱۱",۶۰,۱۳۸۹,۱,"‏۱۱,۹۵۰,۰۰۰,۰۰۰ تومان","‏۱۹۹,۱۶۶,۰۰۰ تومان",۲,gaaNFeRs
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری ندارد"": false}","{""تعداد واحد در طبقه"": ""۳"", ""سند"": ""تک‌برگ"", ""وضعیت سکونت"": ""تخلیه"", ""بازسازی‌ شده"": ""هست""}",2026-08-17T19:38:06.60959,https://divar.ir/v/gaaNlVhc,24999999488,premium-panel,,,تهران,گیشا,فروش آپارتمان,۶۰ متر یک از سه واحد فایل شخصی,"✅✅✅گیشا _____ املاک آشیان

۶۰ متر ۲ خواب 
✅✅✅✅✅فول بازسازی شده 
✅✅✅✅طبقه اول 
✅✅✅فول نوسازی شده 
✅✅فوق العاده خوش نقشه 
✅قدرالسهم دار

❌نور گیر و آفتابگیر

فایل صد در صد شخصی 

❌قیمت مقطوع
❌تخلیه
❌سند آماده انتقال

برای اطلاع از نحوه بازدید تماس حاصل فرمایید

مشاور شما کیوان 
املاک آشیان",۶۰,۱۳۷۱,۲,"‏۲۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۱۶,۶۶۶,۰۰۰ تومان",۱,gaaNlVhc
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری"": true, ""جنس کف سرامیک"": true}","{""تعداد واحد در طبقه"": ""۱"", ""سند"": ""تک‌برگ"", ""وضعیت سکونت"": ""تخلیه""}",2026-08-17T19:31:45.94467,https://divar.ir/v/gaaFFvMT,4800000000,personal,,,تهران,هلال احمر,فروش آپارتمان,فروش ۶۰ متر تک‌خواب، تخلیه، تک‌واحدی، نزدیک مترو,"فروش آپارتمان ۶۰ متری تک‌خواب و تک‌واحدی در محدوده اسکندری، خیابان رنجبر.
واحد تخلیه و آماده تحویل، شخصی و دارای سند تک‌برگ. مناسب سکونت و سرمایه‌گذاری با موقعیت مکانی بسیار عالی.
⭐ مشخصات واحد:  ۶۰ متر
️ یک‌خواب
 تک‌واحدی
 سال ساخت ۱۳۸۹
 سند تک‌برگ
 بدون پارکینگ
 انباری کاذب
️ کابینت MDF + هود
 کمد دیواری
⬜ کف سرامیک
 موقعیت عالی:  نزدیک مترو
 نزدیک BRT
️ دسترسی آسان به اتوبان نواب
 نزدیک پارک
 نزدیک میوه و تره‌بار
 قیمت: متری ۸۰ میلیون تومان — قیمت کل حدود ۴ میلیارد و ۸۰۰ میلیون تومان
 پای معامله تخفیف جزئی دارد.
 قابلیت رهن تا ۶۰۰ میلیون تومان
 واحد تخلیه است و آماده بازدید و تحویل می‌باشد.
 تهران، اسکندری، خیابان رنجبر
برای هماهنگی بازدید تماس بگیرید.",۶۰,۱۳۸۹,۱,"‏۴,۸۰۰,۰۰۰,۰۰۰ تومان","‏۸۰,۰۰۰,۰۰۰ تومان",۴,gaaFFvMT
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سرامیک"": true, ""سرویس بهداشتی ایرانی"": true, ""سرمایش کولر گازی"": true, ""تأمین‌کننده آب گرم آبگرم‌کن"": true}","{""تعداد واحد در طبقه"": ""۲"", ""تعداد کل طبقات ساختمان"": ""۴"", ""سند"": ""تک‌برگ"", ""نوع آشپزخانه"": ""اپن"", ""نمای ساختمان"": ""سنگ"", ""وضعیت سکونت"": ""تخلیه"", ""بازسازی‌ شده"": ""هست""}",2026-08-17T09:51:47.773513,https://divar.ir/v/gaZlMqam,5000000000,personal,,,تهران,قلمستان,فروش آپارتمان,به دلیل مهاجرت,باز سازی کامل .کف سرامیک. کابینت تازه عوض شده.کاغذ دیواری کولر گازی. پله‌ها کلا سنگ است دارای ۲پمپ آب.بالکن.انباری سندی سند تک برگ .دارای جای پارک موتور,۵۲,۱۳۸۳,۱,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۹۶,۱۵۳,۰۰۰ تومان",۳ از ۴,gaZlMqam
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری"": true}","{""تعداد واحد در طبقه"": ""۳"", ""تعداد کل طبقات ساختمان"": ""۵"", ""بازسازی‌ شده"": ""هست""}",2026-08-17T19:26:01.453617,https://divar.ir/v/gaZFAX3J,24199999488,premium-panel,,,تهران,یوسف‌آباد,فروش آپارتمان,۷۸متری ۲خوابه فول امکانات,"** واحدی خوش نقشه فول بازسازی **

۷۷متری دوخوابه طبقه سوم فول امکانات 

۵طبقه سه واحدی طبقه سوم فول بازسازی 

سالن مربعی شکل وبدون پرتی 
اتاقهای بزرگ باکمددیواری های جادار 

فروشنده واقعی: تخفیف به خریدار دست به نقد 

جهت بازدیدوکسب اطلاعات بیشترتماس بگیرید 
باافتخار خدمتگذارشما درامور ملکی: رضائی 

                 ^ املاک: ملک آرا۷۰۷ ^",۷۸,۱۳۸۰,۲,"‏۲۴,۲۰۰,۰۰۰,۰۰۰ تومان","‏۳۱۰,۲۵۶,۰۰۰ تومان",۳ از ۵,gaZFAX3J
